LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,TIME,Value
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1995,25.45058244,2012,22.42724269
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1995,23.20123246,2012,19.84034083
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1995,8.535522093,2012,6.798861232
KOR,MEATCONSUMP,BEEF,KG_CAP,A,1995,6.575344979,2012,8.90279436
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1995,8.305022163,2012,8.69736606
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1995,28.21844619,2012,18.43186729
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.700532706,2012,7.337781586
USA,MEATCONSUMP,BEEF,KG_CAP,A,1995,30.82671092,2012,26.27146035
DZA,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.249858662,2012,4.209694839
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1995,43.48519829,2012,40.20333578
BGD,MEATCONSUMP,BEEF,KG_CAP,A,1995,0.893823984,2012,0.900024598
BRA,MEATCONSUMP,BEEF,KG_CAP,A,1995,23.10161637,2012,24.71357396
CHL,MEATCONSUMP,BEEF,KG_CAP,A,1995,15.94701055,2012,14.6136806
CHN,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.974490931,2012,3.425493307
COL,MEATCONSUMP,BEEF,KG_CAP,A,1995,13.12916794,2012,12.63293384
EGY,MEATCONSUMP,BEEF,KG_CAP,A,1995,6.105301847,2012,9.523389116
ETH,MEATCONSUMP,BEEF,KG_CAP,A,1995,2.873121746,2012,2.563641241
GHA,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.430325408,2012,0.897423948
HTI,MEATCONSUMP,BEEF,KG_CAP,A,1995,2.219841696,2012,3.49652684
IND,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.4870261,2012,0.666941565
IDN,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.313610002,2012,1.666869031
IRN,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.58501797,2012,3.478961659
ISR,MEATCONSUMP,BEEF,KG_CAP,A,1995,12.34831792,2012,19.28493108
KAZ,MEATCONSUMP,BEEF,KG_CAP,A,1995,22.66694156,2012,16.33950304
MYS,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.49122179,2012,4.434427918
MOZ,MEATCONSUMP,BEEF,KG_CAP,A,1995,0.648269037,2012,0.808052936
NGA,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.723845387,2012,1.207135034
PAK,MEATCONSUMP,BEEF,KG_CAP,A,1995,4.834748262,2012,6.191466655
PRY,MEATCONSUMP,BEEF,KG_CAP,A,1995,29.97049823,2012,25.2586234
PER,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.387778664,2012,4.382536257
PHL,MEATCONSUMP,BEEF,KG_CAP,A,1995,2.117485732,2012,2.957258225
RUS,MEATCONSUMP,BEEF,KG_CAP,A,1995,15.59846902,2012,14.0964808
SAU,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.588789803,2012,4.437882243
ZAF,MEATCONSUMP,BEEF,KG_CAP,A,1995,9.986286997,2012,11.16831942
SDN,MEATCONSUMP,BEEF,KG_CAP,A,1995,5.189240135,2012,6.660804474
TZA,MEATCONSUMP,BEEF,KG_CAP,A,1995,5.759611824,2012,4.187649639
THA,MEATCONSUMP,BEEF,KG_CAP,A,1995,4.240485665,2012,2.00477823
UKR,MEATCONSUMP,BEEF,KG_CAP,A,1995,13.52348229,2012,5.957992105
URY,MEATCONSUMP,BEEF,KG_CAP,A,1995,48.16717995,2012,36.36826796
VNM,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.675042812,2012,6.635240885
ZMB,MEATCONSUMP,BEEF,KG_CAP,A,1995,2.836074162,2012,7.640617093
