Location,Country,POL,Pollutant,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Value,Value(in millions tonnes),Population in Millions,Valuepercapita
AUT,Austria,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,9674.05,9.67405,8.592,1.125936918
AUT,Austria,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,6855.141,6.855141,8.592,0.797851606
BEL,Belgium,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,11947.638,11.947638,11.443,1.044100149
BEL,Belgium,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,8235.735,8.235735,11.443,0.719718168
CZE,Czech Republic,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,17197.488,17.197488,10.55,1.630093649
CZE,Czech Republic,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,13749.948,13.749948,10.55,1.303312607
DNK,Denmark,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,8498.101,8.498101,10.24,0.829892676
DNK,Denmark,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,7485.824,7.485824,10.24,0.7310375
FIN,Finland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,7469.559,7.469559,5.541,1.348052518
FIN,Finland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,5264.876,5.264876,5.541,0.950167118
FRA,France,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,71037.597,71.037597,64.9,1.094570062
FRA,France,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,60127.513,60.127513,64.9,0.926463991
DEU,Germany,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,103060.974,103.060974,80.6,1.278672134
DEU,Germany,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,56745.117,56.745117,80.6,0.70403371
GRC,Greece,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,12944.663,12.944663,10.89,1.188674288
GRC,Greece,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,11354.557,11.354557,10.89,1.042659045
HUN,Hungary,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,9034.227,9.034227,9.78,0.923745092
HUN,Hungary,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,7824.921,7.824921,9.78,0.800094172
ISL,Iceland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,540.03,0.54003,0.334,1.616856287
ISL,Iceland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,545.987,0.545987,0.334,1.634691617
IRL,Ireland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,15129.793,15.129793,4.749,3.185890293
IRL,Ireland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,12891.038,12.891038,4.749,2.714474205
ITA,Italy,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,54531.958,54.531958,59.79,0.91205817
ITA,Italy,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,46521.333,46.521333,59.79,0.778078826
JPN,Japan,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,45806.836,45.806836,126.045,0.363416526
JPN,Japan,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,36452.817,36.452817,126.045,0.289204784
KOR,Korea,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,28165,28.165,50.7,0.555522682
KOR,Korea,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,26104,26.104,50.7,0.514871795
LUX,Luxembourg,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,610.494,0.610494,0.584,1.045366438
LUX,Luxembourg,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,559.229,0.559229,0.584,0.957583904
NLD,Netherlands,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,30736.123,30.736123,17.032,1.804610322
NLD,Netherlands,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,19178.511,19.178511,17.032,1.126028124
NZL,New Zealand,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,33311.653,33.311653,4.6,7.241663696
NZL,New Zealand,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,34720.816,34.720816,4.6,7.548003478
NOR,Norway,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,6137.057,6.137057,5.3,1.157935283
NOR,Norway,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,5316.337,5.316337,5.3,1.003082453
POL,Poland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,58255.233,58.255233,38.563,1.510650961
POL,Poland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,42588.029,42.588029,38.563,1.104375412
PRT,Portugal,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,12594.595,12.594595,10.264,1.227064984
PRT,Portugal,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,12466.106,12.466106,10.264,1.214546571
SVK,Slovak Republic,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,6132.907,6.132907,5.4,1.135723519
SVK,Slovak Republic,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,4408.495,4.408495,5.4,0.816387963
ESP,Spain,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,33791.368,33.791368,46.07,0.733478793
ESP,Spain,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,38292.539,38.292539,46.07,0.831181658
SWE,Sweden,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,7882.649,7.882649,9.92,0.794621875
SWE,Sweden,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,5377.206,5.377206,9.92,0.542057056
CHE,Switzerland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,5780.258,5.780258,8.45,0.684054201
CHE,Switzerland,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,5166.934,5.166934,8.45,0.611471479
TUR,Turkey,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,43881.319,43.881319,80.41,0.545719674
TUR,Turkey,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,58027.006,58.027006,80.41,0.721639174
GBR,United Kingdom,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,130927.696,130.927696,65.5,1.998896122
GBR,United Kingdom,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,60961.914,60.961914,65.5,0.930716244
USA,United States,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,767943.406,767.943406,326.47,2.35226332
USA,United States,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,714401.172,714.401172,326.47,2.188259785
SVN,Slovenia,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,2378.69,2.37869,2.07,1.149125604
SVN,Slovenia,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,2127.711,2.127711,2.07,1.02787971
LVA,Latvia,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,2184.479,2.184479,1.944,1.123703189
LVA,Latvia,CH4,Methane,TOTAL,Total  emissions excluding LULUCF,2012,2012,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,1968.174,1.968174,1.944,1.012435185
