LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,1995Value,2012,2012Value
AUT,WASTEMUN,TOT,KG_CAP,A,1995,437.328,,579.53
BEL,WASTEMUN,TOT,KG_CAP,A,1995,455.074,,446.522
CZE,WASTEMUN,TOT,KG_CAP,A,1995,302.011,,307.633
DNK,WASTEMUN,TOT,KG_CAP,A,1995,520.697,,790.654
FIN,WASTEMUN,TOT,KG_CAP,A,1995,412.884,,505.819
FRA,WASTEMUN,TOT,KG_CAP,A,1995,477.097,,523.78
DEU,WASTEMUN,TOT,KG_CAP,A,1995,623.104,E,618.694
GRC,WASTEMUN,TOT,KG_CAP,A,1995,300.911,,503.607
HUN,WASTEMUN,TOT,KG_CAP,A,1995,460.066,,402.002
ISL,WASTEMUN,TOT,KG_CAP,A,1995,426.369,,513.82
IRL,WASTEMUN,TOT,KG_CAP,A,1995,513.204,,587.203
ITA,WASTEMUN,TOT,KG_CAP,A,1995,453.52,,492.381
JPN,WASTEMUN,TOT,KG_CAP,A,1995,415.892,,354.735
KOR,WASTEMUN,TOT,KG_CAP,A,1995,386.712,,357.588
LUX,WASTEMUN,TOT,KG_CAP,A,1995,587.433,,659.345
NLD,WASTEMUN,TOT,KG_CAP,A,1995,539.297,,549.27
NZL,WASTEMUN,TOT,KG_CAP,A,1995,865.688,,570.323
NOR,WASTEMUN,TOT,KG_CAP,A,1995,637.22,,476.684
POL,WASTEMUN,TOT,KG_CAP,A,1995,287.002,,313.595
PRT,WASTEMUN,TOT,KG_CAP,A,1995,387.386,,453.257
SVK,WASTEMUN,TOT,KG_CAP,A,1995,302.126,,306.343
ESP,WASTEMUN,TOT,KG_CAP,A,1995,471.608,E,468.207
SWE,WASTEMUN,TOT,KG_CAP,A,1995,385.751,,450.144
CHE,WASTEMUN,TOT,KG_CAP,A,1995,602.214,,700.924
TUR,WASTEMUN,TOT,KG_CAP,A,1995,455.756,,409.52
GBR,WASTEMUN,TOT,KG_CAP,A,1995,498.07,,483.836
USA,WASTEMUN,TOT,KG_CAP,A,1995,740.252,,727.336
SVN,WASTEMUN,TOT,KG_CAP,A,1995,596.693,,361.826
LVA,WASTEMUN,TOT,KG_CAP,A,1995,264.38,,323.259
